,date,CPI
324,1995-07-01,152.5
325,1995-06-01,152.5
326,1995-05-01,152.2
327,1995-04-01,151.9
328,1995-03-01,151.4
329,1995-02-01,150.9
330,1995-01-01,150.3
331,1994-12-01,149.7
332,1994-11-01,149.7
333,1994-10-01,149.5
334,1994-09-01,149.4
335,1994-08-01,149.0
336,1994-07-01,148.4
337,1994-06-01,148.0
338,1994-05-01,147.5
339,1994-04-01,147.4
340,1994-03-01,147.2
341,1994-02-01,146.7
342,1994-01-01,146.2
343,1993-12-01,145.8
344,1993-11-01,145.8
345,1993-10-01,145.7
346,1993-09-01,145.1
347,1993-08-01,144.8
348,1993-07-01,144.4
349,1993-06-01,144.4
350,1993-05-01,144.2
351,1993-04-01,144.0
352,1993-03-01,143.6
353,1993-02-01,143.1
354,1993-01-01,142.6
355,1992-12-01,141.9
356,1992-11-01,142.0
357,1992-10-01,141.8
358,1992-09-01,141.3
359,1992-08-01,140.9
360,1992-07-01,140.5
361,1992-06-01,140.2
362,1992-05-01,139.7
363,1992-04-01,139.5
364,1992-03-01,139.3
365,1992-02-01,138.6
366,1992-01-01,138.1
367,1991-12-01,137.9
368,1991-11-01,137.8
369,1991-10-01,137.4
370,1991-09-01,137.2
371,1991-08-01,136.6
372,1991-07-01,136.2
373,1991-06-01,136.0
374,1991-05-01,135.6
375,1991-04-01,135.2
376,1991-03-01,135.0
377,1991-02-01,134.8
378,1991-01-01,134.6
379,1990-12-01,133.8
380,1990-11-01,133.8
381,1990-10-01,133.5
382,1990-09-01,132.7
383,1990-08-01,131.6
384,1990-07-01,130.4
385,1990-06-01,129.9
386,1990-05-01,129.2
387,1990-04-01,128.9
388,1990-03-01,128.7
389,1990-02-01,128.0
390,1990-01-01,127.4
391,1989-12-01,126.1
392,1989-11-01,125.9
393,1989-10-01,125.6
394,1989-09-01,125.0
395,1989-08-01,124.6
396,1989-07-01,124.4
397,1989-06-01,124.1
398,1989-05-01,123.8
399,1989-04-01,123.1
400,1989-03-01,122.3
401,1989-02-01,121.6
402,1989-01-01,121.1
403,1988-12-01,120.5
404,1988-11-01,120.3
405,1988-10-01,120.2
406,1988-09-01,119.8
407,1988-08-01,119.0
408,1988-07-01,118.5
409,1988-06-01,118.0
410,1988-05-01,117.5
411,1988-04-01,117.1
412,1988-03-01,116.5
413,1988-02-01,116.0
414,1988-01-01,115.7
415,1987-12-01,115.4
416,1987-11-01,115.4
417,1987-10-01,115.3
418,1987-09-01,115.0
419,1987-08-01,114.4
420,1987-07-01,113.8
421,1987-06-01,113.5
422,1987-05-01,113.1
423,1987-04-01,112.7
424,1987-03-01,112.1
425,1987-02-01,111.6
426,1987-01-01,111.2
427,1986-12-01,110.5
428,1986-11-01,110.4
429,1986-10-01,110.3
430,1986-09-01,110.2
431,1986-08-01,109.7
432,1986-07-01,109.5
433,1986-06-01,109.5
434,1986-05-01,108.9
435,1986-04-01,108.6
436,1986-03-01,108.8
437,1986-02-01,109.3
438,1986-01-01,109.6
439,1985-12-01,109.3
440,1985-11-01,109.0
441,1985-10-01,108.7
442,1985-09-01,108.3
443,1985-08-01,108.0
444,1985-07-01,107.8
445,1985-06-01,107.6
446,1985-05-01,107.3
447,1985-04-01,106.9
448,1985-03-01,106.4
449,1985-02-01,106.0
450,1985-01-01,105.5
451,1984-12-01,105.3
452,1984-11-01,105.3
453,1984-10-01,105.3
454,1984-09-01,105.0
455,1984-08-01,104.5
456,1984-07-01,104.1
457,1984-06-01,103.7
458,1984-05-01,103.4
459,1984-04-01,103.1
460,1984-03-01,102.6
461,1984-02-01,102.4
462,1984-01-01,101.9
463,1983-12-01,101.3
464,1983-11-01,101.2
465,1983-10-01,101.0
466,1983-09-01,100.7
467,1983-08-01,100.2
468,1983-07-01,99.9
469,1983-06-01,99.5
470,1983-05-01,99.2
471,1983-04-01,98.6
472,1983-03-01,97.9
473,1983-02-01,97.9
474,1983-01-01,97.8
475,1982-12-01,97.6
476,1982-11-01,98.0
477,1982-10-01,98.2
478,1982-09-01,97.9
479,1982-08-01,97.7
480,1982-07-01,97.5
481,1982-06-01,97.0
482,1982-05-01,95.8
483,1982-04-01,94.9
484,1982-03-01,94.5
485,1982-02-01,94.6
486,1982-01-01,94.3
487,1981-12-01,94.0
488,1981-11-01,93.7
489,1981-10-01,93.4
490,1981-09-01,93.2
491,1981-08-01,92.3
492,1981-07-01,91.6
493,1981-06-01,90.6
494,1981-05-01,89.8
495,1981-04-01,89.1
496,1981-03-01,88.5
