Date,Mkt-RF,SMB,HML,RMW,CMA,RF
2010-04-20 00:00:00+00:00,0.88,0.75,0.58,-0.18,-0.02,0.001
2010-04-21 00:00:00+00:00,-0.06,0.71,0.18,0.42,-0.19,0.001
2010-04-22 00:00:00+00:00,0.37,0.85,0.54,-0.1,0.12,0.001
2010-04-23 00:00:00+00:00,0.7,0.37,0.59,-0.06,0.16,0.001
2010-04-26 00:00:00+00:00,-0.43,0.39,-0.4,0.78,0.27,0.001
2010-04-27 00:00:00+00:00,-2.34,-0.05,-1.35,0.48,-0.67,0.001
2010-04-28 00:00:00+00:00,0.56,-0.61,0.7,-0.58,0.35,0.001
2010-04-29 00:00:00+00:00,1.34,0.53,0.56,-0.54,0.51,0.001
2010-04-30 00:00:00+00:00,-1.72,-1.09,-0.88,0.38,-0.54,0.001
2010-05-03 00:00:00+00:00,1.36,0.76,0.6,-0.19,0.4,0.001
2010-05-04 00:00:00+00:00,-2.5,-0.64,-0.92,0.26,-0.22,0.001
2010-05-05 00:00:00+00:00,-0.75,-0.83,-0.59,0.03,-0.45,0.001
2010-05-06 00:00:00+00:00,-3.27,-0.38,-0.9,0.8,-0.31,0.001
2010-05-07 00:00:00+00:00,-1.75,-1.34,-0.5,0.22,-0.19,0.001
2010-05-10 00:00:00+00:00,4.47,1.06,1.21,-0.54,0.18,0.001
2010-05-11 00:00:00+00:00,-0.17,1.13,-0.14,-0.11,0.03,0.001
2010-05-12 00:00:00+00:00,1.63,1.45,0.15,0.08,0.2,0.001
2010-05-13 00:00:00+00:00,-1.12,0.32,-0.32,0.17,-0.18,0.001
2010-05-14 00:00:00+00:00,-1.92,-0.34,-0.76,0.4,-0.29,0.001
2010-05-17 00:00:00+00:00,0.11,0.03,-0.59,0.16,0.14,0.001
2010-05-18 00:00:00+00:00,-1.41,-0.31,-0.96,0.63,-0.3,0.001
2010-05-19 00:00:00+00:00,-0.63,-0.9,0.03,-0.25,0.16,0.001
2010-05-20 00:00:00+00:00,-3.99,-1.07,-1.19,0.51,-0.29,0.001
2010-05-21 00:00:00+00:00,1.44,-0.21,1.58,-0.81,0.12,0.001
2010-05-24 00:00:00+00:00,-1.19,0.19,-0.89,0.67,-0.07,0.001
2010-05-25 00:00:00+00:00,-0.03,-0.41,0.56,-0.53,0.16,0.001
2010-05-26 00:00:00+00:00,-0.35,0.92,0.4,-0.27,0.14,0.001
2010-05-27 00:00:00+00:00,3.45,0.83,1.61,-0.39,0.72,0.001
2010-05-28 00:00:00+00:00,-1.18,0.04,-0.68,0.35,-0.01,0.001
2010-06-01 00:00:00+00:00,-1.89,-1.28,-1.63,0.09,-0.28,0.001
2010-06-02 00:00:00+00:00,2.63,0.28,0.41,-0.36,0.01,0.001
2010-06-03 00:00:00+00:00,0.54,0.66,-0.28,0.27,-0.27,0.001
2010-06-04 00:00:00+00:00,-3.62,-1.3,-0.67,0.1,-0.26,0.001
2010-06-07 00:00:00+00:00,-1.52,-1.19,-1.01,0.5,-0.67,0.001
2010-06-08 00:00:00+00:00,0.91,-1.38,0.11,-0.13,0.22,0.001
2010-06-09 00:00:00+00:00,-0.46,0.74,-0.2,0.46,0.24,0.001
2010-06-10 00:00:00+00:00,2.95,0.48,0.87,0.13,0.36,0.001
2010-06-11 00:00:00+00:00,0.62,0.94,0.05,-0.11,0.06,0.001
2010-06-14 00:00:00+00:00,-0.06,0.63,0.0,0.21,0.24,0.001
2010-06-15 00:00:00+00:00,2.36,0.2,0.89,-0.24,0.09,0.001
2010-06-16 00:00:00+00:00,-0.11,-0.26,-0.31,-0.03,-0.32,0.001
2010-06-17 00:00:00+00:00,0.08,-0.21,-0.49,-0.2,-0.04,0.001
2010-06-18 00:00:00+00:00,0.13,-0.02,0.24,-0.21,-0.14,0.001
2010-06-21 00:00:00+00:00,-0.47,-0.56,-0.02,0.2,0.1,0.001
2010-06-22 00:00:00+00:00,-1.63,-0.48,-0.74,-0.26,-0.29,0.001
2010-06-23 00:00:00+00:00,-0.29,0.0,0.22,-0.16,0.03,0.001
2010-06-24 00:00:00+00:00,-1.65,0.0,-0.9,-0.06,-0.21,0.001
2010-06-25 00:00:00+00:00,0.48,1.21,1.07,-1.22,-0.24,0.001
2010-06-28 00:00:00+00:00,-0.23,-0.12,-0.77,0.34,0.02,0.001
2010-06-29 00:00:00+00:00,-3.23,-0.79,-1.29,0.46,-0.24,0.001
2010-06-30 00:00:00+00:00,-0.98,0.0,-0.35,-0.02,-0.02,0.001
2010-07-01 00:00:00+00:00,-0.4,-0.37,-0.42,0.48,0.13,0.001
2010-07-02 00:00:00+00:00,-0.5,-0.33,-0.45,0.1,-0.36,0.001
2010-07-06 00:00:00+00:00,0.33,-1.96,0.11,0.03,-0.44,0.001
2010-07-07 00:00:00+00:00,3.17,0.06,0.43,-0.74,0.94,0.001
2010-07-08 00:00:00+00:00,1.0,0.56,0.0,0.07,0.12,0.001
2010-07-09 00:00:00+00:00,0.81,0.69,0.61,-0.64,0.48,0.001
2010-07-12 00:00:00+00:00,-0.11,-1.16,0.12,0.28,-0.12,0.001
2010-07-13 00:00:00+00:00,1.76,1.62,0.63,-0.67,0.9,0.001
2010-07-14 00:00:00+00:00,-0.04,-0.2,-0.81,0.52,-0.32,0.001
2010-07-15 00:00:00+00:00,0.02,-0.87,-0.13,0.32,-0.1,0.001
2010-07-16 00:00:00+00:00,-2.94,-0.62,-0.93,0.94,-0.68,0.001
2010-07-19 00:00:00+00:00,0.54,-0.2,-0.21,0.06,0.19,0.001
2010-07-20 00:00:00+00:00,1.23,0.62,0.06,-0.03,0.5,0.001
2010-07-21 00:00:00+00:00,-1.3,-0.38,-0.44,0.35,-0.05,0.001
2010-07-22 00:00:00+00:00,2.37,1.26,0.58,-0.73,0.72,0.001
2010-07-23 00:00:00+00:00,1.05,1.41,-0.27,-0.3,0.45,0.001
2010-07-26 00:00:00+00:00,1.23,0.89,0.15,-0.53,0.26,0.001
2010-07-27 00:00:00+00:00,-0.23,-0.31,0.35,0.42,-0.31,0.001
2010-07-28 00:00:00+00:00,-0.82,-0.85,0.03,0.37,-0.27,0.001
2010-07-29 00:00:00+00:00,-0.36,0.4,0.64,-0.16,-0.11,0.001
2010-07-30 00:00:00+00:00,0.06,0.07,-0.2,-0.06,0.02,0.001
2010-08-02 00:00:00+00:00,2.09,-0.53,0.14,-0.3,0.38,0.001
2010-08-03 00:00:00+00:00,-0.56,-0.36,-0.5,0.16,-0.66,0.001
2010-08-04 00:00:00+00:00,0.74,0.37,-0.11,-0.27,0.21,0.001
2010-08-05 00:00:00+00:00,-0.22,-0.86,0.13,0.03,0.14,0.001
